好	a	女子
簣	teck	貝
簤	tocd	罒貝
簥	tmek	丿大口
簨	tjji	巳巳八
簩	tvvo	火火力
簫	tdlq	彐丨一
簬	tgfk	夂口
簭	tosk	工人口
簮	teen	夫夫日
簯	txoq	木其
簰	txkp	片白十
簱	tyoq	方其
簲	tmkp	月白十
簳	tpnx	十早干
簴	twri	虍业八
簵	tgfk	車夂口
簶	tvdc	礻彐氺
簷	tahl	⺈厂言
簹	tibd	尚田
簺	tprb	宀土
簻	tuol	冂乙辶
簼	tdrb	扌土
簽	teks	亼吅人
簾	thil	广丷
籂	toty	飠巾
籃	tjto	臣皿
籄	tiec	匚貝
籅	tbqi	⺽一八
籆	tref	艹隹又
籇	tpuw	冖豕
籈	tybo	覀土瓦
籉	tbkb	士口土
籊	tuet	羽隹
籋	tqir	一八乂
籌	tbod	士乙寸
籎	tutg	匕矢龰
籏	tyto	方其
籐	tmic	月丷氺
籑	tjqo	目一食
籒	tdnb	扌卯田
籓	tctb	氵禾田
籔	tkpf	口十攵
籕	txub	木田
籖	tpzq	十戈一
籗	tnez	⻗隹
籘	tmiu	月丷糸
籙	tzdc	金彐氺
籚	twbo	虍田皿
籛	tzzz	金戈戈
籜	tdox	扌罒干
籝	tgkv	亡口丶
籞	tgtv	彳示
籟	txkc	木口貝
籠	tgme	立月三
籡	tdes	扌亼人
籢	tekf	亼吅攵
籣	tpxv	門木
籤	tssq	人人一
籥	tekr	亼口艹
籦	tzlw	金千二
籧	twwl	虍豕辶
籨	teka	亼吅欠
籩	tjil	自穴辶
籪	tuux	幺幺斤
籫	twhc	⺧儿貝
籬	tjwe	㐫禸隹
籭	tquw	一冂鹿
籮	toue	罒糹隹
籯	tgkv	亡口丶
籰	tjjf	目目又
籱	tnee	⻗隹隹
籲	tekc	亼口頁
籵	opf	米十
籶	oos	米几
籷	omuz	米丿七
籸	ogs	米卂
籹	oan	米女
籺	otoh	米乙
籾	ozvn	米刀丶
籿	odc	米寸
粀	ofz	米丈
粁	olq	米千
粂	avoz	丶米
粃	ouub	米匕匕
粃	ouup	米匕匕
粄	ohfb	米⺁又
粅	oyw	米勿
粆	ois	米少
粆	oic	米少
粇	oyok	米亠几
粇	oyoj	米亠几
粈	oobr	米乙土
粊	uuob	匕匕米
粋	oopc	米九十
粌	ozly	米弓丨
粍	ouz	米毛
粎	ohvm	米尸丶
粏	oevt	米大丶
粐	oph	米户
粓	olg	米甘
粔	oiij	米匚
粖	oxm	米末
粙	obz	米由
粚	otlc	米也
粛	dois	彐米
粠	orih	米龷八
粡	ouqk	米冂一口
粣	ouuq	米⺆⺆一
粦	omgl	米夕㐄
粧	ohbz	米广土
粨	ofnb	米丆日
粩	ohul	米耂匕
粫	ote	米而
粬	okrq	米囗艹
粭	oekh	米亼口
粯	ojhx	米目儿
粰	oehf	米爫子
粴	onbl	米日土
粵	ktio	禾丷乙
粶	odcl	米彐氺
粷	oaoj	米勹米
粸	ooq	米其
粺	okmp	米白丿十
粻	odyz	米
粿	onxg	米日木
糀	orsu	米艹亻
糂	ooos	米其乙
糃	onyt	米旦勿
糄	opur	米户冂艹
糆	ofjm	米丆囬
糉	orif	米乂凵夂
糋	oiqz	米丷一刂
糎	ohnb	米厂日土
糏	ohim	米尸月
糐	obdf	米甫寸
糑	oznn	米弓冫冫
糒	ormo	米龷丿用
糓	buqf	士冖一又
糔	ofve	米又丶虫
糘	opwj	米宀豕
糚	orxb	米艹爿士
糛	oibt	米尚土
糝	ojju	米厶厶彡
糞	obri	米田龷八
糡	ognh	米立日儿
糢	orne	米艹日大
糣	oihn	米匚儿日
糤	ormf	米龷月攵
糥	ottn	米而而
糦	ookx	米壴口
糧	onnb	米旦日土
糩	oevn	米亼日
糪	hkgo	尸口立米
糫	ooqy	米罒一
糬	oohn	米罒耂日
糭	ornf	米乂⺀夂
糮	ojto	米臣皿
糰	okud	米囗寸
糱	rbgo	䶹立米
糲	ohrw	米厂艹⽱
糳	rixo	业丷干米
糴	mvoe	丿丶米隹
糵	rbgo	艹立米
糶	rioe	屮凵米隹
糷	orpv	米艹門
糹	usi	糹
糺	uoj	糹乙
糼	uog	糹力
糽	udz	糹丁
糾	uuj	糹丩
糿	uzy	糹刀
紀	ujj	糹己
紁	ufvc	糹又丶
紂	udz	糹寸
紃	ucx	糹川
約	uavy	糹勹丶
約	uavd	糹勹丶
紅	uoh	糹工
紅	uog	糹工
紅	uoj	糹工
紆	udy	糹于
紆	udo	糹于
紇	utoh	糹乙
紇	utog	糹乙
紇	utoj	糹乙
紈	uovw	糹九丶
紉	uzvr	糹刀丶
紋	uyrw	糹亠乂
紌	uhvq	糹尢丶
納	uusn	糹冂人
紎	uwz	糹犬
紏	unpt	糹⺀十
紐	uobn	糹乙土
紑	uif	糹不
紒	usij	糹人
紓	uzs	糹予
純	urc	糹屯
純	urz	糹屯
純	urt	糹屯
純	urq	糹屯
紕	uuup	糹匕匕
紕	uuub	糹匕匕
紕	uuuc	糹匕匕
紖	uzlz	糹弓丨
紗	uis	糹少
紗	uim	糹少
紘	ufjh	糹厶
紙	uyz	糹氏
級	ulvj	糹乃丶
紛	uizf	糹八刀
紜	uny	糹云
紝	umbr	糹丿士
紞	uuhd	糹冖儿
紟	ueoj	糹亽乙
紡	uyf	糹方
紡	uyb	糹方
紣	uopc	糹九十
紤	uxj	糹斤
紥	douz	扌乙糸
紦	uwb	糹巴
紨	usdf	糹亻寸
紩	umez	糹丿夫
紪	uguq	糹止匕
紬	ubc	糹由
紬	ubz	糹由
紭	uzjh	糹弓厶
紮	xouz	木乙糸
細	ubx	糹田
紱	uuf	糹犮
紲	urox	糹廿乙
紲	uroy	糹廿乙
紳	uns	糹申
紴	uub	糹皮
紵	updz	糹宀丁
紵	upds	糹宀丁
紶	ubjq	糹土厶
紷	uejl	糹亽龴
紸	uvfz	糹丶王
紹	uzks	糹刀口
紹	uzkc	糹刀口
紺	ulg	糹甘
紻	uuey	糹冂大
紼	uzif	糹弓
紽	uput	糹宀匕
紾	usuz	糹人彡
紾	usut	糹人彡
紾	usuj	糹人彡
紿	ujkd	糹厶口
絀	uric	糹屮凵
絁	utls	糹也
終	ufnz	糹夂⺀
絃	uyux	糹亠幺
組	utz	糹且
組	utq	糹且
絅	uukj	糹冂口
絆	uiwl	糹丷二丨
絇	uaq	糹句
絈	ukm	糹白
絉	uxvs	糹木丶
絊	uxz	糹本
絋	uhjk	糹广厶
経	ufbj	糹又土
絍	usmb	糹亻丿士
絎	uggh	糹彳亍
絏	unom	糹日乙丿
結	ubkj	糹士口
絑	umxz	糹丿未
絒	uicc	糹⺍川
絓	ubbg	糹土土
絓	ubbk	糹土土
絔	ufnb	糹丆日
絔	ufnm	糹丆日
絕	uzwj	糹刀巴
絖	uihk	糹⺎
絗	ukh	糹回
絘	unac	糹冫欠
絙	uwnh	糹二日
絙	uwng	糹二日
絚	uwmg	糹二
絛	slfu	亻丨夂糸
絜	elzu	三丨刀糸
絝	uewo	糹大二乙
絞	uyrj	糹六乂
絞	uyrx	糹六乂
絟	usfq	糹人王
絠	ufmg	糹月
絠	ufma	糹月
絡	ufkl	糹夂口
絢	uanx	糹勹日
絣	uirb	糹丷开
絣	uirp	糹丷开
絤	uyx	糹西
絥	uswf	糹亻犬
給	uekg	糹亼口
給	uekj	糹亼口
給	uekx	糹亼口
絧	uuqk	糹冂一口
絨	uzfr	糹戈
絩	uhct	糹儿
絩	uhcd	糹儿
絪	ukey	糹囗大
絫	jjju	厶厶厶糸
絬	ulx	糹舌
絭	ieuj	丷夫糸
絯	ugg	糹亥
絯	ugh	糹亥
絰	uqjb	糹一厶土
統	ught	糹儿
絲	uus	糹糸
絳	ufgj	糹夂㐄
絴	uwx	糹羊
絵	usnh	糹人云
絶	uawj	糹⺈巴
絸	ujhj	糹目儿
絹	ukmj	糹口月
絹	ukmx	糹口月
絺	urfy	糹乂巾
絻	uwm	糹免
絻	uww	糹免
絼	uwz	糹豸
絽	ukl	糹吕
絾	uzoc	糹戊乙
絿	ukq	糹求
綀	uxks	糹木口
綁	uemi	糹三丿阝
綂	uykh	糹亠口儿
綃	uimx	糹月
綃	uims	糹月
綄	upwh	糹宀二儿
綅	uduf	糹彐冖又
綆	uqnr	糹一日乂
綇	uyqx	糹西一
綈	uizm	糹丷弓丿
綉	utlt	糹禾乃
綉	utlx	糹禾乃
綊	uess	糹大人人
綋	upfj	糹宀厶
綌	uix	糹谷
綍	uchf	糹子
綎	umbl	糹丿士廴
綏	ueas	糹爫女
綏	uear	糹爫女
綏	ueat	糹爫女
綐	uikh	糹丷口儿
綑	ukxk	糹囗木
綒	uehf	糹爫子
經	uqco	糹一巛工
綔	ewou	大二乙系
綕	ubjz	糹士心
綖	umgl	糹丿廴
綗	uuik	糹冂八口
綘	ufel	糹夂三丨
継	uooj	糹米乙
続	ubuh	糹士冖儿
綛	uzvj	糹刀丶心
綜	upvz	糹宀示
綝	uxxc	糹木木
綝	uxxs	糹木木
綞	ulrw	糹千艹二
綟	upwl	糹户犬
綠	uwcl	糹彑氺
綡	upil	糹小
綢	uubk	糹⺆土口
綣	uiej	糹丷夫㔾
綤	zkiu	刀口阝糸
綥	ubqi	糹田一
綧	uphz	糹子
綨	uoq	糹其
綩	upmj	糹宀夕㔾
綪	uamq	糹龶月
綪	uamz	糹龶月
綫	uzzx	糹戈戈
綬	ueuf	糹爫冖又
維	uew	糹隹
維	uey	糹隹
綯	uaot	糹勹缶
綰	upbw	糹宀㠯
綱	uuii	糹冂丷山
網	uuig	糹冂丷亡
綳	ummb	糹月月
綴	ufff	糹又又又
綵	uexc	糹爫木
綶	unxg	糹日木
綷	uysp	糹亠人十
綸	ueur	糹亼冂艹
綹	ufvk	糹夂卜口
綺	uedk	糹大丁口
綻	upqg	糹宀一龰
綼	ukmp	糹白丿十
綽	uvnc	糹⺊早
綾	ubif	糹土八夂
綿	ukym	糹白巾
緀	upda	糹十彐女
緁	uqdg	糹一彐龰
緂	uvvt	糹火火
緂	uvvc	糹火火
緃	ussg	糹人人龰
緄	unuu	糹日匕匕
緅	ujfz	糹耳又
緆	unyx	糹日勿
緇	ucbz	糹巛田
緈	ubix	糹土丷干
緉	uqyv	糹一巾丶
緊	jfuj	臣又糸
緋	uef	糹非
緌	utar	糹禾女
緍	uynm	糹氏日
緎	uzkq	糹戈口一
総	uijj	糹八厶心
緐	tauf	母系
緑	udcl	糹彐氺
緒	uhnx	糹耂日
緓	urue	糹艹冂大
緔	uis	糹尚
緕	uyrw	糹亠乂二
緖	uhnv	糹耂日丶
緗	uxjx	糹木目
緘	uzkj	糹戌口
緙	uuk	糹革
線	ukcx	糹白水
緛	uter	糹而大
緜	kyum	白巾系
緝	ukjj	糹口耳
緝	ukjq	糹口耳
緞	urof	糹几又
緟	ulnw	糹千日二
締	ugyd	糹巾
緡	usnm	糹民日
緡	usnh	糹民日
緢	urbm	糹艹田
緣	uwwy	糹彑
緤	urox	糹廿乙木
緥	uskx	糹亻口木
緦	ubjs	糹田心
緧	uiyq	糹丷西一
編	upur	糹户冂艹
緩	uewf	糹爫二夂
緪	ujwm	糹忄二
緫	uyvj	糹勿丶心
緬	ufjm	糹丆囬
緭	ubmw	糹田月
緮	utnf	糹日夂
緯	uilg	糹丨㐄
緰	uemz	糹亼月刂
緱	usit	糹亻矢
緲	ujim	糹目少
緳	helu	广三丨糸
練	uxvl	糹木
緵	urif	糹乂凵夂
緶	usqr	糹亻一乂
緷	uugy	糹冖車
緷	uugg	糹冖車
緸	uyby	糹覀土
緹	ungt	糹旦龰
緺	uuok	糹冂乙口
緻	uqjf	糹一厶攵
緼	unoy	糹日皿
緼	unow	糹日皿
緽	uvcc	糹⺊貝
緾	uhnb	糹厂日土
緿	ujkj	糹厶口心
縀	uilf	糹丨又
縁	udwy	糹彐
縂	uikj	糹丷口心
縃	uogm	糹乙龰月
縄	unns	糹日电
縅	uzaw	糹戌女
縆	ujwn	糹忄二日
縇	upwn	糹宀二日
縈	vvuu	火火冖糸
縉	urnj	糹亚日
縊	ucoy	糹皿
縋	ublz	糹辶
縌	usln	糹屰辶
縍	ugyb	糹方
縎	ujg	糹骨
縎	ujh	糹骨
縏	gofu	舟几又糸
縐	uarr	糹勹䶹䶹
縑	uiql	糹丷一
縒	uwoc	糹工
縒	uwos	糹工
縓	uhki	糹厂白小
縔	uffx	糹又又木
縕	ukso	糹囗人皿
縖	upek	糹宀三口
縗	uykq	糹衣口一
縘	ueue	糹爫幺大
縙	urjr	糹艹耳
縚	uebt	糹爫臼
縛	ubdf	糹甫寸
縜	ukcy	糹口貝
縝	upti	糹十八
縞	upg	糹高
縟	uhwd	糹厂二寸
縠	buqf	士冖一又
縡	upgp	糹宀立十
縢	mieu	月丷夫糸
縣	tiux	小系
縤	uaus	糹龶糸
縥	uetz	糹禾
縦	ugig	糹彳丷龰
縧	uslx	糹亻丨朩
縨	unih	糹日⺎
縩	umvc	糹示
縪	uorb	糹龷
縫	ufel	糹夂三辶
縬	uzvi	糹戊上小
縭	ujwl	糹㐫禸
縮	upsn	糹宀亻日
縯	upqi	糹宀一八
縰	uggg	糹彳止龰
縱	ugsg	糹彳人龰
縲	ubul	糹田糸
縳	uudj	糹寸
縳	uudz	糹寸
縴	uyuw	糹亠幺牛
縵	unof	糹日罒又
縶	bixu	土丷干糸
縷	ukpa	糹口十女
縸	urne	糹艹日大
縹	uyvp	糹覀示
縺	ugll	糹車辶
縼	uytg	糹方龰
總	ukmj	糹夕心
績	uacj	糹龶貝
縿	ujju	糹厶厶彡
繀	uies	糹山隹
繀	uiec	糹山隹
繂	uyup	糹亠幺十
繃	uimm	糹山月月
繄	itou	匚矢几糸
繅	ucnx	糹巛日木
繆	uusu	糹羽人彡
繈	uzje	糹弓厶虫
繉	ujhc	糹目儿
繊	upzr	糹十戈业
繋	gofu	車几又糸
繌	ukrf	糹乂夂
繍	udoi	糹彐米
繎	umwv	糹犬灬
繏	ujji	糹巳巳八
繐	uujs	糹心
繑	umek	糹丿大口
繒	uivn	糹丷日
繓	unjf	糹日耳又
織	ugzn	糹立戈日
繕	uwik	糹羊丷口
繖	urmf	糹龷月攵
繗	uomg	糹米夕㐄
繘	uzuk	糹矛冂口
繙	utib	糹禾丷田
繚	ueii	糹大丷小
繛	auvn	龶糸⺊早
繜	uiyd	糹丷西寸
繝	upmj	糹門月
繞	ubbh	糹土土⺎
繟	ukoc	糹吅
繠	jjju	心心心糸
繡	udlq	糹彐丨一
繢	uech	糹貝
繣	udbq	糹彐土一
繤	rjeu	艹目大糸
繥	uokx	糹壴口
繦	uzke	糹弓口虫
繧	unny	糹⻗云
繨	ubwl	糹土羊辶
繩	uqdd	糹黽彐
繪	uevn	糹亼日
繫	giou	車凵几糸
繬	ubsk	糹土人回
繭	rule	艹冂丨虫
繮	uebb	糹三田田
繯	uoqy	糹罒一
繰	ukxz	糹品木
繰	ukxs	糹品木
繰	ukxq	糹品木
繱	uryj	糹艹勿心
繲	uaow	糹⺈用牛
繳	ukyf	糹白方攵
繴	hkgu	尸口立糸
繵	uykn	糹亠回旦
繶	ugnj	糹立日心
繷	ukry	糹囗艹
繸	uiwl	糹丷豕辶
繹	uobx	糹罒土干
繺	uadv	糹⺈彐灬
繻	untx	糹⻗而
繻	untr	糹⻗而
繼	uuuo	糹幺幺乙
繽	upqc	糹宀一貝
繾	uebl	糹㠯辶
繿	ujto	糹臣皿
纀	usrv	糹亻业丶
纁	ulvv	糹千灬
纃	uyiw	糹亠丷二
纄	urfl	糹艹夂辶
纅	ukux	糹白幺木
纆	uvbm	糹黑土
纇	oucl	米糸頁
纈	ubkc	糹士口頁
纉	ueec	糹夫夫貝
纊	uhri	糹广龷八
纋	ufuf	糹丆冂夂
續	uboc	糹士罒貝
纍	bbbu	田田田糸
纎	upzq	糹十戈一
纏	uhnb	糹广日土
纐	uyrc	糹六乂頁
纑	uwbo	糹虍田皿
纒	uhnb	糹厂日土
纓	ucca	糹貝貝女
纔	uakw	糹⺈口兔
纕	uykr	糹衣吅
纖	ussq	糹人人一
纗	uiek	糹山隹口
纘	uwhc	糹⺧儿貝
纙	uoue	糹罒糹隹
纚	uquw	糹一冂鹿
纜	ujth	糹臣儿
纝	ubbu	糹田田糸
纞	uluj	糹言糹心
纮	ufjh	纟厶
纴	umbr	纟丿士
纻	upqz	纟宀一
纼	uzlz	纟弓丨
绖	uqjb	纟一厶土
绤	uix	纟谷
绬	urue	纟艹冂大
绹	uaot	纟勹缶
缊	unoy	纟日皿
缐	ukcx	纟白水
缞	uykq	纟衣口一
缷	ojx	缶卩
缹	ovf	缶灬
缻	oof	缶瓦
缼	oaq	缶欠
缽	oxb	缶本
缾	oirp	缶丷开
缿	oskx	缶𠂋
罀	ohcz	缶儿
罁	ouii	缶冂丷山
罃	vvuo	火火冖缶
罆	okpc	缶囗十貝
罇	oiyd	缶丷西寸
罈	oynt	缶覀早
罉	oidc	缶尚手
罊	gioo	車凵几缶
罋	yueo	亠乡隹缶
罌	ccoy	貝貝缶
罍	bbbo	田田田缶
罎	onnn	缶日⻗云
罏	owbo	缶虍田皿
罒	owan	罒
罓	urg	冂乂
罖	oel	罒亽
罙	uixs	冖八木
罛	oog	罒瓜
罜	ovfz	罒丶王
罜	ovfd	罒丶王
罝	otj	罒且
罞	ozm	罒矛
罠	osm	罒民
罣	obbg	罒土土
罤	oizm	罒丷弓丿
罥	okmj	罒口月
罦	oehf	罒爫子
罧	oxxs	罒木木
罫	obbv	罒土土卜
罬	offf	罒又又又
罭	ozkq	罒戈口一
罯	ogna	罒立日
罰	olzf	罒言刂
罳	objs	罒田心
罵	owm	罒馬
罶	ouvb	罒丶田
罷	ojmu	罒厶月匕
罸	oldf	罒言寸
罺	ocnx	罒巛日木
罻	ohvd	罒尸示寸
罼	oorb	罒龷
罽	ohvz	罒厂火刂
罿	ognb	罒立日土
羀	urrb	冂乂乂田
羂	oukm	罒糹口月
羃	orny	罒艹日巾
羄	ouvn	罒糹⺊早
羅	ouel	罒糹隹
羆	ojmv	罒厶月灬
羇	ouek	罒革大口
羈	ouwj	罒革馬
羉	oluu	罒言糹糸
羋	lqll	丨一丨丨
羍	ewd	大羊
羏	wuy	彡
羏	wux	彡
羐	lqvv	丨一⺊丶
羑	wavy	⺷丶
羒	wizf	八刀
羓	wwb	巴
羕	wvoc	⺷丶乙
羖	wofg	几又
羗	wojq	乙厶
羗	wojy	乙厶
羘	mwz	月羊
羙	wvg	⺷火
羙	wvm	⺷火
羛	wziy	⺷弓
羛	wzix	⺷弓
羜	wpdz	宀丁
羠	wezy	大弓
羢	wzfr	戈
羣	dmkw	彐丿口羊
羥	wqco	一巛工
羦	wpwh	宀二儿
羨	wcax	⺷氵欠
義	wmdz	⺷丿扌戈
羪	wvdy	丶彐
羫	wioq	穴工
羫	wiok	穴工
羬	wzkq	戌口
羬	wzkx	戌口
羬	wzky	戌口
羭	wemz	亼月刂
羮	wvqe	⺷灬一夫
羱	whki	厂白小
羳	wtib	禾丷田
羴	wwws	羊羊
羵	wprc	十艹貝
羶	wykn	亠回旦
羷	weks	亼吅人
羺	wntn	⻗而
羻	whif	广夂
羾	uog	羽工
翀	uvc	羽中
翂	uizf	羽八刀
翃	fjuh	厶羽
翄	upfc	羽十又
翆	uopc	羽九十
翇	uuf	羽犮
翈	nux	甲羽
翉	xub	本羽
翋	ugl	羽立
翍	uup	羽皮
翍	uub	羽皮
翏	usul	羽人彡
翐	umez	羽丿夫
翑	uaq	羽句
習	ukx	羽白
翓	bkux	士口羽
翖	ekux	亼口羽
翗	mmuk	夕夕羽
翙	imuh	山夕羽
翚	uugh	羽冖车
翛	slfu	亻丨夂羽
翜	uess	羽大人人
翝	pfju	宀厶羽
翞	upij	羽小
翢	ubku	⺆土口羽
翣	ugas	羽立女
翤	kuru	口冂艹羽
翧	pwnu	宀二日羽
翨	ungc	羽旦龰
翪	urif	羽乂凵夂
翫	ukwh	羽白二儿
翬	uugh	羽冖車
翭	usit	羽亻矢
翯	uph	羽高
翲	yvup	覀示羽
翴	ugll	羽車辶
翵	ueh	羽鳥
翵	ueq	羽鳥
翶	kcpu	白十羽
翷	omgu	米夕㐄羽
翸	prcu	十艹貝羽
翹	bbbu	土土土羽
翺	jcpu	自十羽
翽	gziu	止戌羽
翾	oqku	罒一口羽
翿	boou	士乙工羽
耂	hlao	耂
耇	hag	耂句
耈	huag	耂匕句
耉	hqok	耂一乙口
耊	hqjb	耂一厶土
耎	ter	而大
耎	ten	而大
耏	tue	而彡
耏	tun	而彡
耑	itd	山而
耓	xdt	耒丁
耚	xup	耒皮
耛	xjky	耒厶口
耛	xjkc	耒厶口
耝	xtq	耒且
耝	xtc	耒且
耞	xokj	耒力口
耟	xiij	耒匚
耡	xtoc	耒且力
耣	xeur	耒亼冂艹
耤	xrnj	耒龷日
耫	xacz	耒龶貝
耬	xkpa	耒口十女
耭	xuuv	耒幺幺丶
耮	xvvo	耒火火力
耯	xref	耒艹隹又
耰	xfuf	耒丆冂夂
耲	xyoc	耒衣罒氺
耴	joy	耳乙
耹	jeoq	耳亽乙
耺	jny	耳云
耼	juwd	耳冂二
耾	jfjh	耳厶
聀	jzz	耳戈
聁	jizp	耳八刀
聄	jsuz	耳人彡
聅	jtc	耳矢
聇	jqgz	耳一止
聈	juoy	耳幺力
聉	jriw	耳屮凵
聉	jrit	耳屮凵
聉	jriz	耳屮凵
聎	jhct	耳儿
聏	jte	耳而
聏	jtn	耳而
聐	jbky	耳士口
聑	jjt	耳耳
聑	jjz	耳耳
聓	oovj	工几丶耳
聕	jwkh	耳⺧口
聖	jkfs	耳口王
聗	jess	耳大人人
聙	jamj	耳龶月
聛	jkmp	耳白丿十
聜	jiod	耳穴工
聝	jzkq	耳戈口一
聞	pjw	門耳
聟	tkjx	矢口耳
聠	jirp	耳丷开
聡	jijj	耳八厶心
聢	jpqg	耳宀一龰
聣	jbhn	耳臼儿
聤	jpud	耳冖丁
聥	jmkw	耳丿口⽱
聦	jyvj	耳勿丶心
聧	jgek	耳癶天
聨	juur	耳幺幺廾
聫	juue	耳幺幺大
聬	jiju	耳八厶羽
聭	jkhj	耳白儿厶
聮	juuv	耳幺幺灬
聯	juuo	耳幺幺乙
聰	jkmj	耳夕心
聲	bhlj	士尸丨耳
聳	gssj	彳人人耳
聴	jpoj	耳十罒心
聵	jeck	耳貝
聶	jjjn	耳耳耳
聶	jjjz	耳耳耳
聶	jjjs	耳耳耳
聶	jjjy	耳耳耳
職	jgzn	耳立戈日
聸	jahl	耳⺈厂言
聹	jpjd	耳宀心丁
聺	jpmv	耳宀示
聻	cgxj	氵車斤耳
聼	ojpj	乙耳十心
聽	jfpj	耳王十心
聾	gmqj	立月一耳
肁	pdwl	户彐二丨
肂	jdwl	歹彐二丨
肅	dlxq	彐丨片一
肈	pzdl	户戈彐丨
肊	moy	月乙
肍	moq	月九
肎	umk	冖月
肏	mvmc	丿丶肉
肐	mtog	月乙
肐	mtoq	月乙
肑	mavb	月勹丶
肑	mavd	月勹丶
肒	movh	月九丶
肔	mlc	月也
肕	mzvr	月刀丶
肗	mar	月女
肙	kmy	口月
肞	mfvc	月又丶
肣	meoh	月亽乙
肣	meoq	月亽乙
肦	uniz	⺆冫八刀
肧	mip	月不
肨	melp	月三丨
肨	melf	月三丨
肬	mhvy	月尢丶
肰	mwr	月犬
肳	myw	月勿
肵	mxq	月斤
肶	muup	月匕匕
肶	muub	月匕匕
肸	mipx	月八十
肹	miqo	月八一乙
肻	vumk	⺊冖月
胅	mmed	月丿夫
胇	mzif	月弓
胇	mzib	月弓
胈	mub	月犮
胉	mkb	月白
胊	unaq	⺆冫句
胋	mvkt	月⺊口
胏	molm	月乙丨丿
胐	unri	⺆冫屮凵
胑	mkiz	月口八
胒	mhun	月尸匕
胓	mxip	月干丷
胔	gumz	止匕肉
胔	gumc	止匕肉
胔	gumj	止匕肉
胕	msdf	月亻寸
胕	msdz	月亻寸
胘	myux	月亠幺
胟	mam	月母
胠	mbjq	月土厶
胢	mdkk	月丁口
胣	mtlc	月也
胦	muey	月冂大
胮	mfgp	月夂㐄
胵	mqjb	月一厶土
胷	arim	勹乂凵月
胹	mte	月而
胻	mggh	月彳亍
胾	pzmz	十戈肉
胿	mbbg	月土土
胿	mbbk	月土土
脀	hcqm	了一月
脁	unhc	⺆冫儿
脃	mawc	月⺈巴
脄	mfvm	月火
脅	ooom	力力力月
脇	mooo	月力力力
脈	mhym	月⺁
脋	zzzm	刀刀刀月
脌	mtgn	月ヰ
脕	mww	月免
脗	mykw	月勿口
脙	mkx	月求
脛	mqco	月一巛工
脜	mfjy	月丆目
脝	mphh	月了
脟	medl	月爫寸
脠	mmgl	月丿廴
脡	mmbl	月丿士廴
脢	mtam	月母
脣	hwym	厂二月
脤	mhwy	月厂二
脥	mess	月大人人
脦	mujd	月弋心
脦	mujt	月弋心
脧	unjf	⺆冫厶夂
脨	mxkc	月木口
脨	mxkj	月木口
脩	slfm	亻丨夂月
脪	mrfy	月乂巾
脫	mikh	月八口儿
脭	mkfc	月口王
脮	mean	月爫女
脮	meat	月爫女
脰	mod	月豆
脳	miri	月⺍乂凵
脴	mikp	月不口
脵	mkeg	月口天
脷	mtzl	月禾刂
脹	mdyz	月
脹	mdyc	月
脺	mysp	月亠人十
脻	mqdg	月一彐龰
脼	mqyv	月一巾丶
脽	mes	月隹
脿	mayb	月龶
腀	meur	月亼冂艹
腁	mmqx	月丿一干
腂	mnxl	月日木
腂	mnxg	月日木
腂	mnxh	月日木
腃	miej	月丷夫㔾
腄	mlrw	月千艹二
腅	mvvd	月火火
腇	mtan	月禾女
腉	mbhn	月臼儿
腍	meoj	月亽乙心
腎	jfms	臣又月
腏	mfff	月又又又
腒	mhmj	月尸古
腖	mxnd	月木日
腗	mbqi	月由一
腘	mkfv	月囗王丶
腛	mhqb	月尸一土
腜	mlxm	月甘木
腝	mten	月而大
腝	mter	月而大
腝	mtee	月而大
腞	mwwz	月彑
腞	mwwd	月彑
腞	mwwt	月彑
腟	mpqb	月宀一土
腡	muok	月冂乙口
腢	mnwo	月日⽱
腣	mgyd	月巾
腤	mgna	月立日
腦	mckr	月巛乂
腨	mits	月山而
腪	mugy	月冖車
腫	mlnw	月千日二
腬	mzxr	月矛木
腯	mhpj	月⺁十目
腲	mbyw	月田
腳	mijj	月谷卩
腵	milf	月丨又
腶	mrof	月几又
腷	mqkb	月一口田
腸	mnyc	月旦勿
膁	miql	月丷一
膃	mkso	月囗人皿
膄	mblf	月臼丨又
膅	mhdk	月广彐口
膆	maus	月龶糸
膇	mblz	月辶
膉	mcoy	月皿
膋	vvum	火火冖月
膌	mcsm	月人月
膍	mkru	月乂匕
膎	meue	月爫幺大
膐	ytym	方肉
膒	miko	月匚品
膓	mtny	月旦勿
膔	mwl	月鹿
膔	mwb	月鹿
膕	mkzq	月囗戈一
膖	mfel	月夂三辶
膗	miec	月山隹
膙	mzke	月弓口虫
膚	wbmf	虍田月
膚	wbml	虍田月
膞	mudz	月寸
膞	mudc	月寸
膟	myup	月亠幺十
膠	musu	月羽人彡
膡	miej	月丷夫目
膢	mkpa	月口十女
膤	mndx	月⻗彐
膥	xzom	未戊乙肉
膧	ungb	⺆冫立土
膩	muwi	月弋二八
膫	meii	月大丷小
膬	muuu	月毛毛毛
膭	mecg	月貝
膭	meck	月貝
膭	mecd	月貝
膮	mbbh	月土土⺎
膯	mgot	月癶豆
膰	mtib	月禾丷田
膱	mgzn	月立戈日
膲	mevj	月隹灬
膴	mtrv	月龷灬
膵	mryp	月艹亠十
膶	mpfr	月門王
膷	muvi	月乡丶阝
膸	mfol	月工辶
膹	mprc	月十艹貝
膼	muol	月冂乙辶
膽	mahl	月⺈厂言
膾	mevn	月亼日
膿	mkry	月囗艹
