字符,拆分
抻,扌申
攉,扌⻗隹
投,扌几又
势,扌九丶力
摆,扌罒土厶
扎,扌乙
拟,扌乙丶人
执,扌九丶
扬,扌乙丿丿
拥,扌用
抛,扌九力
撕,扌其斤
垫,扌九丶土
扭,扌乙土
扛,扌工
搂,扌米女
挚,扌九丶手
蛰,扌九丶虫
盂,于皿
撖,扌乙耳攵
贽,扌九丶贝
擞,扌米女攵
鸷,扌九丶鸟
擐,扌罒一
絷,扌九丶糸
按,扌宀女
技,扌十又
护,扌户
擦,扌宀示
拧,扌宀丁
搁,扌门夂口
擀,扌十早干
掠,扌小
扪,扌门
摈,扌宀丘八
掮,扌户月
捩,扌户犬
揎,扌宀二日
撸,扌鱼日
撒,扌龷月攵
摸,扌艹日大
捞,扌艹冖力
措,扌龷日
描,扌艹田
拱,扌龷八
拙,扌屮凵
搽,扌艹人朩
揲,扌廿乙木
抢,扌人㔾
挫,扌人人土
擒,扌人㐫禸
拴,扌人王
抿,扌民
抡,扌人匕
拊,扌亻寸
搠,扌屰月
扌,扌
拖,扌也
捂,扌五口
揪,扌禾火
攥,扌目糸
批,扌匕匕
探,扌冖八木
拔,扌犮
挥,扌冖车
拨,扌发
披,扌皮
拣,扌乙八
撬,扌毛毛毛
拭,扌弋工
擢,扌羽隹
揩,扌匕匕白
拗,扌幺力
帚,彐冖巾
摺,扌羽白
掉,扌⺊早
扑,扌卜
拈,扌⺊口
拄,扌丶王
建,彐二丨廴
攒,扌⺧儿贝
搓,扌工
挽,扌免
拢,扌龙
搀,扌免⺀
聿,彐二丨
掳,扌虍力
抟,扌二乙丶
掾,扌彑
摅,扌虍心
拆,扌斤丶
抹,扌末
哲,扌斤口
逝,扌斤辶
掀,扌斤欠
誓,扌斤言
蜇,扌斤虫
抨,扌干丷
揸,扌木旦
踅,扌斤足
退,彐辶
抗,扌亠几
挤,扌亠乂
抵,扌氏丶
摘,扌亠丷古
摔,扌亠幺十
擅,扌亠回旦
撇,扌㡀攵
艮,彐
垦,彐土
掖,扌亠亻丶
恳,彐心
攘,扌衣吅
搐,扌亠幺田
招,扌刀口
揉,扌矛木
挪,扌阝
挠,扌⺎
拂,扌弓
撼,扌戌口心
抒,扌予
揿,扌钅欠
搦,扌弓冫冫
蟾,虫⺈厂言
蜻,虫龶月
蟓,虫⺈口
奎,大土土
螺,虫田糸
蛙,虫土土
遣,㠯辶
舀,爫臼
舂,臼
蚰,虫由
螋,虫臼丨又
泰,氺
虫,虫
遗,贝辶
夼,大川
奇,大丁口
虢,爫寸虍几
欹,大丁口欠
剞,大丁口刂
蚵,虫丁口
替,夫夫日
蛤,虫亼口
蚕,天虫
蚌,虫三丨
蝽,虫日
辇,夫夫车
蝰,虫大土土
蛉,虫亽龴
蜚,非虫
蜉,虫爫子
蚨,虫夫
蛱,虫夫丷
蝓,虫亼月刂
螓,虫禾
夫,夫
蜂,虫夂三丨
蛏,虫又土
螃,虫方
蟑,虫立早
