字符,拆分,拆分臺灣,拆分兼一,拆分兼二,拆分兼三,拆分兼四
㒭,口儿口儿,,,,,
㒮,一兀豕,,,,,
㒯,⺌兀艹干龷,,,,,
㒰,丿乀工,,,,,
㒱,丿乀夕,,,,,
㒲,丿乀日,,,,,
㒳,冂丨丿乀丿乀,,,,,
㒴,丿乀屮凵,,,,,
㒵,白八,,,,,
㒶,八白,,,,,
㒷,冂人一八,,,,,
㒸,丷豕,,,,,
㒹,十〈具上〉八十〈具上〉八,十目一八十目一八,,,,
㒺,冂䒑人𠃊,,,,,
㒻,冂二見,,,,,
㒼,廿巾丿乀丿乀,,,,,
㒽,冂二龹㔾,,,,,
㒾,冂二方𠂉也,,,,,
㒿,冂二文凵冂厶隹,,,,,
㓀,冖卜,,,,,
㓁,冖八,冖儿,,,,
㓂,冖一兀女,,,,,
㓃,冖訁丿七,,,,,
㓄,厶厶厶人彡冖儿,,,,,
㓅,冫丁,,,,,
㓆,冫人匕,,,,,
㓇,冫丿大,,,,,
㓈,冫石,,,,,
㓉,冫舌,,,,,
㓊,冫同,,,,,
㓋,冫龷八,,,,,
㓌,冫人王,冫丿乀王,,,,
㓍,冫亠厶儿,,,,,
㓎,冫⺕冖又,,,,,
㓏,冫冂八口,冫冂儿口,,,,
㓐,冫土八土,冫土儿土,,,,
㓑,冫土䒑十,,,,,
㓒,冫七人小丶,,,,,
㓓,冫十冂䒑十,,,,,
㓔,冫身寸,,,,,
㓕,冫戈丿一火,,,,,
㓖,冫日龷十,冫田龷十,,,,
㓗,冫丰刀糸,,,,,
㓘,⺇一夕王丶,⺇一〈炙上〉王,,,,
㓙,文凵,,,,,
㓚,工刂,,,,,
㓛,工刀,,,,,
㓜,幺刀,,,,,
㓝,井刂,,,,,
㓞,丰刀,,,,,
㓟,皮刂,,,,,
㓠,⺊口刂,,,,,
㓡,𠂉十凵刂,,,,,
㓢,夂口刂,,,,,
㓣,亼口刂,,,,,
㓤,士口刂,,,,,
㓥,⺌⺕刂,,,,,
㓦,丆日刂,,,,,
㓧,亽㇇口刂,亼㇇口刂,,,,
㓨,大人人刂,,,,,
㓩,角刂,,,,,
㓪,丶〈即左〉刀,丶艮刀,,,,
㓫,大一廾刂,,,,,
㓬,龹刀刂,,,,,
㓭,日匃刂,,,,,
㓮,⺆土口刂,,,,,
㓯,巛田刂,,,,,
㓰,一由凵刂,,,,,
㓱,亼⺝刂刂,亼月刂刂,,,,
㓲,户冂卄刂,戶冂卄刂,,,,
㓳,日一龰刂,,,,,
㓴,而大刂,,,,,
㓵,口口一丂刂,,,,,
㓶,丰刀大刂,,,,,
㓷,自木刂,,,,,
㓸,〈斲左〉刂,,,,,
㓹,厂火火刂,,,,,
㓺,虍文刂,,,,,
㓻,罒一止刂,,,,,
㓼,木人氺刂,,,,,
㓽,山宀示刂,,,,,
㓾,尸氺牛刂,,,,,
㓿,禾人氺刂,禾人水刂,,,,
㔀,日〈享上〉小刂,,,,,
㔁,癶一〈壴下〉刂,,,,,
㔂,米夕匸丨刂,,,,,
㔃,糹⺈巴刀,糹刀巴刀,,,,
㔄,覀米刂,,,,,
㔅,⺕丨〈淵右〉刂,,,,,
㔆,匸儿匸儿日刂,,,,,
㔇,癶弓殳刂,,,,,
㔈,艹非刂,,,,,
㔉,尸丿口〈禺下〉刂,,,,,
㔊,亠囗口日一刂,,,,,
㔋,臣〈⺮半〉皿刂,臣𠂉一皿刂,,,,
㔌,耳又丿〈乑下〉刂,耳又亻人人刂,,,,
㔍,⺮目廾刂,,,,,
㔎,〈艸左〉丿㠯辛刀,〈艸左〉丿〈官下〉辛刀,,,,
㔏,石石石刂,,,,,
㔐,⺮一非一刂,,,,,
㔑,艹丿㠯辛刀,艹丿〈官下〉辛刀,,,,
㔒,山隹冂八口刂,山隹冂儿口刂,,,,
㔓,千力,,,,,
㔔,力口〇,,,,,
㔕,气力,,,,,
㔖,力口𠃍,,,,,
㔗,弓〈丿丨〉力,,,,,
㔘,屮凵力,,,,,
㔙,䒑廾力,,,,,
㔚,舌力,,,,,
㔛,士口力,,,,,
㔜,爫子力,,,,,
㔝,一巾丿乀丿乀力,,,,,
㔞,千丬匕力,,,,,
㔟,生丸力,,,,,
㔠,日匃力,,,,,
㔡,〈囟框〉㐅〈比左〉〈比左〉力,,,,,
㔢,糹⺈巴力,糹刀巴力,,,,
㔣,田田田力,,,,,
㔤,宀丿米田力,,,,,
㔥,罒厶⺝匕匕力,罒厶⺼匕匕力,,,,
㔦,⺶㇏丶艮力,⺷八一艮力,,,,
㔧,虍田皿力,,,,,
㔨,勹丬匕⺝,勹丬匕⺼,,,,
㔩,勹土厶皿,,,,,
㔪,勹⺊囗㐅〈四点〉,,,,,
㔫,𠂇匕,,,,,
㔬,匕早,,,,,
㔭,〈比左〉日一龰,,,,,
㔮,廿口夫厶⺝匕匕,廿口夫厶⺼匕匕,,,,
㔯,匚几口,匚八口,,,,
㔰,匚夕卜,,,,,
㔱,匚臼人,,,,,
㔲,匚亽〈即左〉九,匚亼〈即左〉九,,,,
㔳,匚亽〈即左〉几,匚亼〈⻞下〉几,,,,
㔴,匚田龷八,,,,,
㔵,匚巳巳龷八,,,,,
㔶,匚立早夂工貝,匚立早夂匸丨貝,,,,
㔷,匚一冂人,匸一冂人,,,,
㔸,匚⺁虍几,匸⺁虍儿,,,,
㔹,十力,,,,,
㔺,十十乚,十七十,,,,
㔻,不十,,,,,
㔼,扌隹十,,,,,
㔽,⺊囗口,,,,,
㔾,㔾,,,,,
㔿,一丩,,,,,
㕀,由㔾,,,,,
㕁,㐅𠂇厶卩,,,,,
㕂,厂亽㇇,厂亼㇇,,,,
㕃,厂一廾,,,,,
㕄,厂一幺,,,,,
㕅,厂甲,,,,,
㕆,厂古,,,,,
㕇,厂立,,,,,
㕈,厂亠𧘇,,,,,
㕉,厂亼口,,,,,
㕊,厂甫,,,,,
㕋,厂金,,,,,
㕌,厂日一寸,,,,,
㕍,厂隹,,,,,
㕎,厂土厶皿,,,,,
㕏,厂一〈壴下〉⺀十,,,,,
㕐,厂臼勹灬,厂⺽勹灬,,,,
㕑,厂士〈壴下〉寸,,,,,
㕒,厂⺷我,,,,,
㕓,厂〈黑上〉灬土,,,,,
㕔,厂耳王十罒一心,厂耳𡈼十罒一心,,,,
㕕,厶厶,,,,,
㕖,厶厶厶木,,,,,
㕗,⺷𠂊㇏厶,,,,,
㕘,厶厶厶人小,,,,,
㕙,厶八夊⺈口儿丶,厶儿夊⺈口儿丶,,,,
㕚,又〈丶丶〉,,,,,
㕛,又又,,,,,
㕜,中又,,,,,
㕝,古又,,,,,
㕞,尸巾又,,,,,
㕟,⺊冂卄又,,,,,
㕠,冫隹又,,,,,
㕡,⺊冖一八人口又,,,,,
㕢,⺊冖一貝又,,,,,
㕣,八口,,,,,
㕤,口九,,,,,
㕥,口人,,,,,
㕦,口大,,,,,
㕧,口尸,,,,,
㕨,口凡,,,,,
㕩,口丰,,,,,
㕪,口冖儿,,,,,
㕫,口方,,,,,
㕬,口八厶,,,,,
㕭,口丿大,,,,,
㕮,口八乂,,,,,
㕯,冂人口,冂丿乀口,,,,
㕰,口毛,,,,,
㕱,口尤,,,,,
㕲,口木,,,,,
㕳,口㐅凵,,,,,
㕴,口冖几,,,,,
㕵,口王,,,,,
㕶,口丅ユ,,,,,
㕷,口白,,,,,
㕸,口立,,,,,
㕹,口𠂇又丶,口𠂇乂丶,,,,
㕺,口口丂,,,,,
㕻,丶不口,,,,,
㕼,口勹㐅𠃊,,,,,
㕽,口𠄌丶人,,,,,
㕾,小口匕,,,,,
㕿,禾口,,,,,
㖀,口⺕キ,,,,,
㖁,口㐅𠂇厶,,,,,
㖂,口日㇂丿,,,,,
㖃,口⺁一口,,,,,
㖄,口ソ〈州中〉〈州中〉,,,,,
㖅,口戈丿一,,,,,
㖆,口日〢,,,,,
㖇,口而,,,,,
㖈,耂匕口,,,,,
㖉,口人止,,,,,
㖊,口⺕寸,,,,,
㖋,人〈丿丨〉口匕,,,,,
㖌,亻九口匕,,,,,
㖍,⺀十口匕,,,,,
㖎,口匕人〈丿丨〉,,,,,
㖏,口日土,,,,,
㖐,口口⺕丿,,,,,
㖑,口戈廾,,,,,
㖒,口丷弔丿,,,,,
㖓,口夂丰,,,,,
㖔,口一大口,,,,,
㖕,口辛,,,,,
㖖,辛口,,,,,
㖗,口山亽㇇,口山亼㇇,,,,
㖘,口辰,,,,,
㖙,力口口匕,,,,,
㖚,亻寸口匕,,,,,
㖛,古口匕,,,,,
㖜,〈享上〉口匕,,,,,
㖝,未口匕,,,,,
㖞,口口冂人,,,,,
㖟,口爫冖又,,,,,
㖠,口大示,,,,,
㖡,口亠亻夂丶,,,,,
㖢,口广止匕,,,,,
㖣,口立口,,,,,
㖤,口㇇氺凵,,,,,
㖥,口囗禾,,,,,
㖦,口木日,,,,,
㖧,口氏日,,,,,
㖨,口⼹氺,口彑氺,,,,
㖩,口耳又,,,,,
㖪,口戈口一,,,,,
㖫,口土八夊,口土儿夊,,,,
㖬,口臼又,,,,,
㖭,口一大小丶,,,,,
㖮,口亼冂卄,,,,,
㖯,同口匕,,,,,
㖰,口匕同,,,,,
